1,2,3,,,,,,,
0.514262205,0.530833333,0.530141844,0.526112186,0.521186441,0.513846154,0.515190627,0.539553533,0.570420907,0.546643853
0.505394039,0.52,0.529255319,0.549323017,0.553813559,0.555576923,0.562847498,0.612267013,0.577243293,0.520835561
0.502377034,0.503333333,0.503546099,0.503868472,0.503813559,0.503076923,0.50694996,0.527850022,0.542553191,0.558229066
0.526147376,0.5575,0.591312057,0.643133462,0.634322034,0.659807692,0.588264496,0.555374946,0.523589269,0.50983852
0.512250869,0.518333333,0.529255319,0.530947776,0.528389831,0.520192308,0.517970612,0.546705678,0.564407956,0.541368125
0.509873834,0.5275,0.523049645,0.539651838,0.533898305,0.517692308,0.519261319,0.534893801,0.549606846,0.538587673
0.505119766,0.516666667,0.518617021,0.527079304,0.520762712,0.519615385,0.521544877,0.541612484,0.566720629,0.535753752
0.503474127,0.503333333,0.507978723,0.50967118,0.511864407,0.509807692,0.51350278,0.542045947,0.545790934,0.54270488
0.503474127,0.5025,0.507092199,0.511605416,0.508050847,0.507692308,0.511020651,0.526441266,0.549028677,0.544808042
0.500914244,0.5025,0.5,0.502901354,0.505084746,0.501923077,0.503971406,0.510619853,0.518963922,0.554361387
0.512250869,0.5175,0.522163121,0.536750484,0.526271186,0.518846154,0.521842732,0.54302124,0.547525439,0.535308167
0.507222527,0.525,0.520390071,0.521276596,0.524576271,0.519038462,0.522140588,0.549956654,0.560013876,0.532545539
0.518010605,0.530833333,0.518617021,0.521276596,0.516525424,0.512115385,0.512807784,0.527850022,0.54093432,0.538783731
0.524227464,0.53,0.520390071,0.532882012,0.525,0.511730769,0.507644956,0.517771998,0.53179926,0.538997612
0.507405376,0.514166667,0.515957447,0.526112186,0.521610169,0.518653846,0.518367752,0.539011704,0.542090657,0.535094286
0.508776742,0.523333333,0.554078014,0.595744681,0.612288136,0.597884615,0.56423749,0.556783702,0.530064755,0.511585214
0.625708539,0.658333333,0.609929078,0.598646035,0.559745763,0.525384615,0.513800635,0.515279584,0.512719704,0.512137739
0.519747669,0.539166667,0.532801418,0.529980658,0.530508475,0.513076923,0.513204925,0.525899436,0.535499537,0.53521905
0.572133845,0.5675,0.545212766,0.535783366,0.524152542,0.51,0.508042097,0.516471608,0.521160962,0.528606566
0.699030901,0.650833333,0.62322695,0.622823985,0.544491525,0.515961538,0.504368546,0.503792805,0.502428307,0.5025131
0.581002011,0.5625,0.55141844,0.564796905,0.550423729,0.5225,0.51350278,0.522756827,0.524514339,0.520657327
0.507131103,0.5125,0.509751773,0.528046422,0.522033898,0.518076923,0.520651311,0.540853923,0.540009251,0.532474245
0.502377034,0.5,0.506205674,0.50483559,0.502966102,0.503846154,0.504070691,0.51224534,0.524167438,0.546037857
0.502377034,0.511666667,0.519503546,0.521276596,0.529661017,0.525769231,0.534749801,0.559601214,0.55573543,0.521067266
0.563539952,0.564166667,0.560283688,0.560928433,0.552966102,0.53,0.521942017,0.52763329,0.527058279,0.516914412
0.512250869,0.519166667,0.544326241,0.559961315,0.56440678,0.563269231,0.567811755,0.557325531,0.529139685,0.511121805
0.558603035,0.57,0.559397163,0.568665377,0.554237288,0.520192308,0.515091342,0.525791071,0.525092507,0.519035397
0.588224538,0.578333333,0.565602837,0.552224371,0.537288136,0.521538462,0.512212073,0.51928912,0.519657724,0.514347842
0.524136039,0.661666667,0.605496454,0.590909091,0.575423729,0.532115385,0.52333201,0.527958388,0.52173913,0.516967882
0.503839824,0.505833333,0.502659574,0.50483559,0.504237288,0.501923077,0.503375695,0.512787169,0.532724329,0.537767797
0.521759005,0.525,0.52393617,0.51934236,0.516101695,0.506730769,0.508935663,0.515821413,0.527289547,0.530674081
0.504662644,0.521666667,0.539007092,0.592843327,0.605932203,0.625192308,0.577640985,0.547572605,0.509597595,0.50245963
0.502102761,0.5075,0.509751773,0.510638298,0.51059322,0.508269231,0.508836378,0.52503251,0.538043478,0.530335436
0.506856829,0.511666667,0.518617021,0.515473888,0.510169492,0.504807692,0.506354249,0.523515388,0.549375578,0.528054041
0.503839824,0.5125,0.518617021,0.52417795,0.522457627,0.526346154,0.534948372,0.560359775,0.549144311,0.514615193
0.587036021,0.568333333,0.542553191,0.548355899,0.533898305,0.512884615,0.509134234,0.51094495,0.515610546,0.51475778
0.514719327,0.529166667,0.52393617,0.51934236,0.518644068,0.510384615,0.511318507,0.520264413,0.530642923,0.526877696
0.555403182,0.543333333,0.554078014,0.556092843,0.528813559,0.516538462,0.513006354,0.5218899,0.524398705,0.516361886
0.504936917,0.51,0.515070922,0.516441006,0.507627119,0.508076923,0.509531374,0.519939315,0.538852914,0.528570919
0.57515085,0.566666667,0.566489362,0.568665377,0.532627119,0.515576923,0.51022637,0.517880364,0.51699815,0.512440737
0.566739806,0.5825,0.576241135,0.604448743,0.557627119,0.530769231,0.518069897,0.52243173,0.514107308,0.508377001
0.568842567,0.584166667,0.581560284,0.600580271,0.552118644,0.519615385,0.509034948,0.515713047,0.516651249,0.511353509
0.50146279,0.500833333,0.504432624,0.502901354,0.503389831,0.504038462,0.507545671,0.521348071,0.529370953,0.530014615
0.503382703,0.508333333,0.512411348,0.520309478,0.515677966,0.514615385,0.513800635,0.526549632,0.527752081,0.525558764
0.507313951,0.511666667,0.511524823,0.508704062,0.511016949,0.506538462,0.504765687,0.51224534,0.516419981,0.531529605
0.503108429,0.5125,0.52748227,0.566731141,0.571610169,0.563461538,0.550337569,0.547897703,0.527983349,0.506826364
0.504662644,0.504166667,0.507092199,0.510638298,0.511864407,0.508846154,0.51330421,0.533051582,0.539546716,0.522528785
0.508593893,0.51,0.515070922,0.510638298,0.509322034,0.506730769,0.506652105,0.519072388,0.528677151,0.526574698
0.503108429,0.5225,0.522163121,0.555125725,0.563983051,0.571730769,0.547954726,0.549739922,0.52740518,0.505774783
0.50521119,0.5075,0.510638298,0.515473888,0.509322034,0.507692308,0.508042097,0.520264413,0.536887142,0.525095355
0.503565551,0.518333333,0.524822695,0.559961315,0.558898305,0.560769231,0.544678316,0.542371045,0.52960222,0.507218479
0.50146279,0.5,0.502659574,0.500967118,0.502966102,0.503846154,0.510325655,0.53283485,0.534111933,0.524222008
0.505302615,0.51,0.509751773,0.517408124,0.51440678,0.510192308,0.509531374,0.523298656,0.53052729,0.523847717
0.501188517,0.501666667,0.500886525,0.5,0.502542373,0.503269231,0.504269261,0.511161682,0.517113784,0.531048373
